,pos x,pos y
0,107.62,480.01
1,107.62,480.01
2,111.08823529411764,474.5294117647058
3,112.9090909090909,468.80808080808083
4,113.23300970873787,464.1553398058253
5,112.24509803921568,457.85294117647067
6,112.28155339805824,457.8543689320388
7,111.59803921568628,452.656862745098
8,110.55660377358492,446.65094339622635
9,110.62,435.3
10,110.6851851851852,429.61111111111114
11,110.990990990991,422.4774774774775
12,111.91891891891892,417.2702702702703
13,111.88392857142857,417.3035714285714
14,113.20408163265307,412.4285714285714
15,116.46534653465345,407.5247524752475
16,122.54,402.99
17,128.08823529411765,401.12745098039215
18,132.19801980198022,399.37623762376234
19,137.5,397.4607843137255
20,142.5408163265306,395.8673469387755
21,148.60416666666669,393.14583333333326
22,153.72916666666669,390.89583333333326
23,159.36082474226802,387.97938144329896
24,166.48076923076925,384.7596153846154
25,172.7980769230769,382.76923076923083
26,179.37623762376236,379.9108910891089
27,185.4387755102041,377.9183673469388
28,190.91,375.27
29,197.44329896907215,372.0103092783505
30,204.42268041237114,369.56701030927843
31,210.71287128712868,366.8415841584159
32,216.22222222222226,365.040404040404
33,221.7766990291262,361.8446601941748
34,227.959595959596,360.4949494949495
35,233.14953271028043,359.0186915887851
36,238.4230769230769,356.28846153846155
37,243.7572815533981,354.91262135922335
38,249.69,352.86
39,256.4245283018868,350.84905660377365
40,262.71844660194176,349.6407766990292
41,265.9047619047619,348.43809523809523
42,265.8282828282828,347.8383838383838
43,265.84158415841586,347.84158415841586
44,266.01923076923083,347.875
45,265.77777777777777,347.96969696969705
46,265.7549019607843,348.0098039215686
47,265.86,348.05
48,265.71153846153845,348.20192307692315
49,265.7647058823529,348.18627450980387
50,265.60576923076917,348.25
51,265.4666666666667,348.28571428571433
52,265.57142857142856,348.22857142857146
53,265.6699029126213,348.2621359223301
54,264.8269230769231,348.9326923076923
55,264.3148148148148,350.3425925925926
56,266.0188679245283,351.8396226415094
57,268.0,354.02803738317755
58,272.3980582524272,355.883495145631
59,276.811320754717,358.3396226415094
60,280.24242424242425,359.68686868686865
61,285.24242424242425,362.4444444444445
62,290.64948453608247,364.8969072164949
63,296.68627450980387,367.0882352941177
64,301.6826923076923,371.4134615384616
65,307.5980392156863,374.21568627450984
66,313.38095238095235,377.247619047619
67,320.48571428571427,380.33333333333326
68,327.43396226415086,382.2169811320755
69,333.765306122449,384.8775510204082
70,340.25,386.02
71,347.029702970297,389.2772277227723
72,353.3125,390.92708333333326
73,360.20833333333326,393.17708333333326
74,366.5858585858586,394.8686868686869
75,373.6764705882353,395.421568627451
76,380.8556701030928,396.24742268041234
77,388.9714285714286,396.1714285714286
78,395.53125,396.34375
79,401.5533980582524,394.83495145631065
80,407.3867924528302,394.7735849056604
81,413.578431372549,393.9411764705882
82,420.0555555555555,392.97222222222223
83,426.20792079207916,392.25742574257424
84,432.60377358490564,390.7735849056604
85,439.72916666666674,390.14583333333326
86,447.46,388.01
87,454.73076923076917,386.46153846153845
88,462.23,384.32
89,468.93939393939394,381.7474747474748
90,475.91262135922335,377.39805825242723
91,482.16666666666674,372.843137254902
92,489.1368421052632,369.83157894736837
93,489.16666666666674,369.85416666666674
94,494.625,366.97916666666674
95,505.85263157894735,365.8736842105263
96,510.41,368.31
97,515.686274509804,371.7058823529412
98,520.72,375.88
99,525.8415841584158,380.8019801980198
100,530.1958762886596,384.5360824742268
101,535.0515463917526,389.5257731958763
102,541.67,393.56
103,547.3571428571429,397.3571428571428
104,553.4356435643564,400.83168316831683
105,560.1,404.32
106,565.8210526315789,407.83157894736837
107,572.5196078431372,410.3235294117647
108,577.8842105263158,412.6736842105263
109,585.21875,413.15625
110,591.23,413.89
111,597.25,414.48958333333326
112,604.252427184466,415.04854368932035
113,610.7204301075269,416.1182795698925
114,615.7263157894737,416.71578947368414
115,622.0,417.8125
116,628.3936170212767,418.3936170212766
117,634.1134020618558,417.9896907216495
118,640.1237113402062,417.1752577319588
119,645.9375,414.36458333333326
120,650.2234042553191,412.08510638297867
121,650.2903225806451,412.09677419354836
122,656.0909090909091,409.70454545454544
123,662.8297872340426,407.1595744680851
124,668.9052631578948,405.2
125,681.8804347826087,401.4021739130435
126,686.6,399.8
127,692.9787234042552,398.8936170212766
128,699.1397849462365,398.84946236559136
129,705.7395833333335,398.83333333333326
130,711.9468085106382,400.3936170212766
131,717.4835164835165,402.06593406593413
132,722.5416666666665,406.25
133,726.2469135802469,409.9259259259259
134,730.8762886597937,413.4845360824742
135,736.031914893617,416.25531914893617
136,741.9270833333335,418.16666666666674
137,747.4725274725273,422.23076923076917
138,752.5795454545455,424.67045454545456
139,757.7045454545455,428.3068181818182
140,763.5473684210525,431.4736842105263
141,769.945652173913,434.0108695652174
142,769.945652173913,434.0108695652174
143,781.4418604651163,435.03488372093017
144,781.4418604651163,435.03488372093017
145,781.4418604651163,435.03488372093017
146,786.7058823529413,433.55294117647065
147,796.8604651162791,427.20930232558135
148,801.9655172413792,424.2988505747126
149,814.4216867469879,418.1807228915663
150,819.6375,414.9
151,825.6136363636364,413.8522727272728
152,830.2272727272727,413.79545454545456
153,834.3522727272727,415.7840909090909
154,836.8021978021977,418.8571428571428
155,838.8965517241379,422.6091954022989
156,841.8791208791209,427.09890109890114
157,845.3789473684212,431.7473684210526
158,848.8571428571429,436.6923076923077
159,851.7613636363636,442.2386363636364
160,855.876404494382,446.96629213483146
161,859.6590909090909,450.6590909090909
162,863.9772727272727,454.45454545454544
163,868.1702127659573,458.88297872340434
164,871.9890109890109,464.0219780219781
165,876.2272727272727,468.5681818181818
